"表名","字段序号","字段名","标识","主键","类型","占用字节数","长度","小数位数","允许空","默认值","字段说明"
"","14","Titile","","","nvarchar","100","50","0","y","",""
"","15","Deptment","","","nvarchar","100","50","0","y","",""
"","16","CompanyName","","","nvarchar","100","50","0","y","",""
"","17","CompanyCode","","","nvarchar","100","50","0","y","",""
"","18","IsTNE","","","nvarchar","100","50","0","y","",""
"","19","RecordCreationTime","","","nvarchar","100","50","0","y","",""
"","20","IsAdd","","","nvarchar","100","50","0","y","",""
"","21","IsDelete","","","nvarchar","100","50","0","y","",""
"","22","IsEdit","","","nvarchar","100","50","0","y","",""
"","23","RecordStatus","","","nvarchar","100","50","0","y","",""
"","24","LastUpdateTime","","","nvarchar","100","50","0","y","",""
"EMS_Mng_RPM","1","id","√","√","int","4","10","0","","",""
"","2","RPMEmployee","","","nvarchar","100","50","0","y","",""
"","3","RPMAD","","","nvarchar","100","50","0","y","",""
"","4","RPMName","","","nvarchar","100","50","0","y","",""
"","5","RSMEmployee","","","nvarchar","100","50","0","y","",""
"","6","RSMAD","","","nvarchar","100","50","0","y","",""
"","7","RSMName","","","nvarchar","100","50","0","y","",""
"Log_InternalOrder","1","ID","√","√","int","4","10","0","","",""
"","2","CRGuid","","","nvarchar","100","50","0","y","",""
"","3","Code","","","nvarchar","100","50","0","y","",""
"","4","Description","","","nvarchar","100","50","0","y","",""
"","5","RecordStatus","","","nvarchar","100","50","0","y","",""
"","6","CompanyName","","","nvarchar","100","50","0","y","",""
"","7","CompanyCode","","","nvarchar","100","50","0","y","",""
"","8","ParentProductCode","","","nvarchar","100","50","0","y","",""
"","9","ParentProductName","","","nvarchar","100","50","0","y","",""
"","10","IsEdit","","","nvarchar","100","50","0","y","",""
"","11","IsAdd","","","nvarchar","100","50","0","y","",""
"","12","IsDelete","","","nvarchar","100","50","0","y","",""
"","13","LastUpdateTime","","","nvarchar","100","50","0","y","",""
"RAP_TE_CostCenterCodeApprover","1","ID","√","√","int","4","10","0","","",""
"","2","CostCenterCode","","","nvarchar","100","50","0","y","",""
"","3","ProjectCode","","","nvarchar","100","50","0","y","",""
"","4","ApproveAD","","","nvarchar","100","50","0","y","",""
"","5","RecordStatus","","","int","4","10","0","y","",""
"","6","Deptcode","","","nvarchar","200","100","0","y","",""
"EventMeeting_SpeakerInfo","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","CRGuid","","","nvarchar","100","50","0","y","","5rWB56iLR1VJRA=="
"","4","SpeakerIDNumber","","","nvarchar","100","50","0","y","",""
"","5","SpeakerName","","","nvarchar","100","50","0","y","","6K6y6ICF5aeT5ZCN"
"","6","Hospital","","","nvarchar","100","50","0","y","","5Yy76Zmi5ZCN56ew"
"","7","Department","","","nvarchar","100","50","0","y","","56eR5a6k"
"","8","Level","","","nvarchar","100","50","0","y","","57qn5Yir"
"","9","PaymentCode","","","nvarchar","100","50","0","y","","5LuY5qy+5Luj56CB"
"","10","Amount","","","numeric","9","18","2","y","","6YeR6aKd"
"","11","Tips","","","nvarchar","200","100","0","y","","5pi+56S65o+Q56S6"
"","12","CostCenterCode","","","nvarchar","100","50","0","y","","5oiQ5pys5Lit5b+D5Luj56CB"
"","13","CostCenterName","","","nvarchar","100","50","0","y","","5oiQ5pys5Lit5b+D5ZCN56ew"
"","14","ProductCode","","","nvarchar","100","50","0","y","",""
"","15","ProductName","","","nvarchar","100","50","0","y","",""
"","16","ProjectCode","","","nvarchar","100","50","0","y","",""
"","17","ProjectName","","","nvarchar","100","50","0","y","",""
"","18","Diffence_PeopleQty","","","int","4","10","0","y","","5pu05paw5ZCO5Lq65pWw5beu5byC"
"","19","Diffence_PaymentAmount","","","numeric","9","18","2","y","","5pu05paw5ZCO6K6y6K++6LS555So5pSv5LuY6YeR6aKd5beu5byC"
"","20","RecordStatus","","","int","4","10","0","y","","54q25oCB"
"","21","TotalAmount","","","numeric","9","18","2","y","",""
"","22","SpeakerPONo","","","nvarchar","100","50","0","y","",""
"","23","LectureFee","","","numeric","9","18","2","y","",""
"","24","AnnualCap","","","numeric","9","18","2","y","",""
"","25","CostName","","","nvarchar","100","50","0","y","",""
"","26","CostCode","","","nvarchar","100","50","0","y","",""
"","27","DataVersion","","","nvarchar","100","50","0","y","",""
"","28","Remark","","","nvarchar","1000","500","0","y","",""
"","29","IsServiceResult","","","bit","1","1","0","y","",""
"","30","IsDomestic","","","int","4","10","0","y","","5piv5ZCm5piv5Zu95YaF6K6y6K++IDAu5Zu95YaFIDEu5Zu96ZmF"
"RAP_TE_DD_CostCenter_Source","1","Id","√","√","int","4","10","0","","",""
"","2","Year","","","int","4","10","0","y","",""
"","3","CostCenterCode","","","nvarchar","100","50","0","y","","5oiQ5pys5Lit5b+D5Luj56CB"
"","4","CostCenterEname","","","nvarchar","510","255","0","y","","5oiQ5pys5Lit5b+D6Iux5paH5ZCN56ew"
"","5","CostCenterDescript","","","nvarchar","510","255","0","y","","5oiQ5pys5Lit5b+D5o+P6L+w"
"","6","CostCenterDepartment","","","nvarchar","100","50","0","y","","6YOo6Zeo"
"","7","CountryCode","","","varchar","20","20","0","y","","VGhlIGNvZGUgb2YgY291bnRyeQ=="
"","8","DeptCode","","","nvarchar","100","50","0","y","",""
"","9","Caterory","","","nvarchar","100","50","0","y","","5b2S57G7"
"","10","IsExtensCostCenter","","","nvarchar","100","50","0","y","","5piv5ZCm5Li65o6o5bm/5oiQ5pys5Lit5b+D77yI5Zyo5q2m55Sw5Li75Yqe5Lya6K6u77yM5pel5bi45a2m5pyv5rS75Yqo5ZKM6LWe5YqpSENQICwg6LWe5Yqp56ys5LiJ5pa55rS75Yqo5Lit5L2/55So77yJ"
"","11","CheckProduct","","","nvarchar","100","50","0","y","","5piv5ZCm6ZyA6KaB6aqM6K+B5Lqn5ZOB"
"","12","CheckProject","","","nvarchar","100","50","0","y","","5qOA5p+l5piv5ZCm5piv6aG555uu"
"","13","Owner","","","nvarchar","100","50","0","y","",""
"","14","Account","","","nvarchar","100","50","0","y","",""
"","15","Titile","","","nvarchar","100","50","0","y","",""
"","16","Deptment","","","nvarchar","100","50","0","y","",""
"","17","CompanyName","","","nvarchar","100","50","0","y","",""
"","18","CompanyCode","","","nvarchar","100","50","0","y","",""
"","19","IsTNE","","","nvarchar","100","50","0","y","",""
"","20","RecordCreationTime","","","datetime","8","23","3","y","(getdate())","VGhlIHRpbWUgb2YgY3JlYXRlZCB0aGlzIHJlY29yZA=="
"","21","LastUpdateTime","","","datetime","8","23","3","y","","TGFzdCB1cGRhdGUgdGltZQ=="
"","22","RecordStatus","","","varchar","10","10","0","y","","VGhlIHN0YXR1cyBvZiB0aGlzIHJlY29yZC4gMCAtIGRpc2FibGUgMS0gZW5hYmxlIDIgLSBkZWxldGVk"
"EMS_Cfg_Rules","1","ID","√","√","int","4","10","0","","","5Li76ZSuSUTllK/kuIA="
"","2","CategoryCode","","","nvarchar","100","50","0","y","","6LS555So57G75Z6L5Luj56CB"
"","3","RuleName","","","nvarchar","1000","500","0","y","","6KeE5YiZ5ZCN56ew"
"","4","SType","","","int","4","10","0","y","","IOeUs+ivt+exu+WeizoxLuS4quS6uiAyLuS4quS6uuWPiuiusuiAhSAzLuWQq+mHh+i0reiuouWNlSA0LuWFtuS7lumHh+i0rQ=="
"","5","Version","","","int","4","10","0","y","",""
"","6","RecordStatus","","","int","4","10","0","y","","54q25oCBIDAu5pyq5ZCv55SoIDEu5ZCv55So"
"EventMeeting_SpeakerInfo_New","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","CRGuid","","","nvarchar","100","50","0","y","","5rWB56iLR1VJRA=="
"","4","SpeakerIDNumber","","","nvarchar","100","50","0","y","",""
"","5","SpeakerName","","","nvarchar","100","50","0","y","","6K6y6ICF5aeT5ZCN"
"","6","Hospital","","","nvarchar","100","50","0","y","","5Yy76Zmi5ZCN56ew"
"","7","Department","","","nvarchar","100","50","0","y","","56eR5a6k"
"","8","Level","","","nvarchar","100","50","0","y","","57qn5Yir"
"","9","PaymentCode","","","nvarchar","100","50","0","y","","5LuY5qy+5Luj56CB"
"","10","Amount","","","numeric","9","18","2","y","","6YeR6aKd"
"","11","Tips","","","nvarchar","200","100","0","y","","5pi+56S65o+Q56S6"
"","12","CostCenterCode","","","nvarchar","100","50","0","y","","5oiQ5pys5Lit5b+D5Luj56CB"
"","13","CostCenterName","","","nvarchar","100","50","0","y","","5oiQ5pys5Lit5b+D5ZCN56ew"
"","14","ProductCode","","","nvarchar","100","50","0","y","",""
"","15","ProductName","","","nvarchar","100","50","0","y","",""
"","16","ProjectCode","","","nvarchar","100","50","0","y","",""
"","17","ProjectName","","","nvarchar","100","50","0","y","",""
"","18","Diffence_PeopleQty","","","int","4","10","0","y","","5pu05paw5ZCO5Lq65pWw5beu5byC"
"","19","Diffence_PaymentAmount","","","numeric","9","18","2","y","","5pu05paw5ZCO6K6y6K++6LS555So5pSv5LuY6YeR6aKd5beu5byC"
"","20","RecordStatus","","","int","4","10","0","y","","54q25oCB"
"","21","TotalAmount","","","numeric","9","18","2","y","",""
"","22","SpeakerPONo","","","nvarchar","100","50","0","y","",""
"","23","LectureFee","","","numeric","9","18","2","y","",""
"","24","AnnualCap","","","numeric","9","18","2","y","",""
"","25","CostName","","","nvarchar","100","50","0","y","",""
"","26","CostCode","","","nvarchar","100","50","0","y","",""
"","27","IsServiceResult","","","bit","1","1","0","y","",""
"","28","Remark","","","nvarchar","100","50","0","y","",""
"","29","IsDomestic","","","int","4","10","0","y","","5piv5ZCm5piv5Zu95YaF6K6y6K++IDAu5Zu95YaFIDEu5Zu96ZmF"
"","30","LockPaymentStatus","","","nvarchar","100","50","0","y","",""
"Takeda_Mng_TargetDoc","1","ID","√","√","int","4","10","0","","",""
"","2","BU","","","nvarchar","100","50","0","y","",""
"","3","Region","","","nvarchar","100","50","0","y","",""
"","4","EmployeeNo","","","nvarchar","100","50","0","y","",""
"","5","Employee_WindowsID","","","nvarchar","100","50","0","y","",""
"","6","EmployeeName","","","nvarchar","100","50","0","y","",""
"","7","DSMNo","","","nvarchar","100","50","0","y","",""
"","8","DSM_WindowsID","","","nvarchar","100","50","0","y","",""
"","9","DSMName","","","nvarchar","100","50","0","y","",""
"","10","RSMNo","","","nvarchar","100","50","0","y","",""
"","11","RSM_WindowsID","","","nvarchar","100","50","0","y","",""
"","12","RSMName","","","nvarchar","100","50","0","y","",""
"","13","RSDNo","","","nvarchar","100","50","0","y","",""
"","14","RSD_WindowsID","","","nvarchar","100","50","0","y","",""
"","15","RSDName","","","nvarchar","100","50","0","y","",""
"","16","NSDNo","","","nvarchar","100","50","0","y","",""
"","17","NSD_WindowsID","","","nvarchar","100","50","0","y","",""
"","18","NSDName","","","nvarchar","100","50","0","y","",""
"","19","HospitalCode","","","nvarchar","100","50","0","y","",""
"","20","Hosptial","","","nvarchar","100","50","0","y","",""
"","21","DoctorNo","","","nvarchar","100","50","0","y","",""
"","22","DoctorName","","","nvarchar","100","50","0","y","",""
"","23","Postion","","","nvarchar","100","50","0","y","",""
"","24","Title","","","nvarchar","100","50","0","y","",""
"","25","Department","","","nvarchar","100","50","0","y","",""
"","26","Product","","","nvarchar","100","50","0","y","",""
"","27","ProductCode","","","nvarchar","100","50","0","y","",""
"","28","Level","","","nvarchar","100","50","0","y","",""
"","29","Item1","","","nvarchar","100","50","0","y","",""
"","30","Item2","","","nvarchar","100","50","0","y","",""
"","31","Item3","","","nvarchar","100","50","0","y","",""
"","32","RecordStatus","","","int","4","10","0","y","",""
"TTTTTT","1","id","","","int","4","10","0","y","",""
"EventMeeting_BasicInfo","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","","5rWB56iL6IqC54K5R1VJRA=="
"","3","CRGuid","","","nvarchar","100","50","0","y","","5rWB56iLR1VJRA=="
"","4","CostTypeID","","","nvarchar","100","50","0","y","","6LS555So57G75YirQ29kZQ=="
"","5","CostTypeName","","","nvarchar","100","50","0","y","","6LS555So57G75Yir5ZCN56ew"
"","6","SubCategroyCode","","","nvarchar","100","50","0","y","",""
"","7","SubCategroyName","","","nvarchar","100","50","0","y","",""
"","8","PurchaseArrialDate","","","datetime","8","23","3","y","","6YeH6LSt5Yiw6LSn5pel5pyf"
"","9","TotalAmount","","","numeric","9","18","2","y","","5oC76YeR6aKd"
"","10","ActivityPlace","","","nvarchar","100","50","0","y","","5rS75Yqo5Zyw54K5"
"","11","ActivityStartDate","","","datetime","8","23","3","y","","5rS75Yqo5byA5aeL5pel5pyf"
"","12","ActivityEndDate","","","datetime","8","23","3","y","","5rS75Yqo57uT5p2f5pel5pyf"
"","13","ZincCode","","","nvarchar","100","50","0","y","","WmluY0NvZGU="
"","14","ActivityContent","","","nvarchar","1000","500","0","y","","5rS75Yqo5YaF5a655Y+K55uu55qE"
"","15","ActivitySchedule","","","nvarchar","1000","500","0","y","","5rS75Yqo5pel56iL5a6J5o6S"
"","16","PlanInternalStaff","","","int","4","10","0","y","","6K6h5YiS5Y+C5Lya5YaF6YOo5Lq65ZGY"
"","17","ActualInternalStaff","","","int","4","10","0","y","","5a6e6ZmF5Y+C5Lya5YaF6YOo5Lq65ZGY"
"","18","PlanExternalStaff","","","int","4","10","0","y","","6K6h5YiS5Y+C5Lya5aSW6YOo5Lq65ZGY"
"","19","ActualExternalStaff","","","int","4","10","0","y","","5a6e6ZmF5Y+C5Lya5aSW6YOo5Lq65ZGY"
"","20","PlanSpeaker","","","int","4","10","0","y","","6K6h5YiS6K6y6ICF5pWw"
"","21","ActualSpeaker","","","int","4","10","0","y","","5a6e6ZmF6K6y6ICF5pWw"
"","22","PlanLectureFee","","","numeric","9","18","2","y","","6K6h5YiS6K6y6K++6LS56YeR6aKd"
"","23","ActualLectureFee","","","numeric","9","18","2","y","","5a6e6ZmF6K6y6K++6LS56YeR6aKd"
"","24","PlanSpeakerProportion","","","nvarchar","100","50","0","y","","6K6h5YiS6K6y6ICF5q+U5L6L"
"","25","ActualSpeakerProportion","","","nvarchar","100","50","0","y","","5a6e6ZmF6K6y6ICF5q+U5L6L"
"","26","ActualExecutionPlace","","","nvarchar","100","50","0","y","",""
"","27","ActualExecutionDate","","","datetime","8","23","3","y","",""
"","28","ActualEndDate","","","datetime","8","23","3","y","",""
"","29","ActualActivitySchedule","","","nvarchar","1000","500","0","y","","5a6e6ZmF5rS75Yqo5pel56iL5a6J5o6S"
"","30","ExecuteStartDate","","","datetime","8","23","3","y","","5a6e6ZmF5omn6KGM5byA5aeL5pel5pyf"
"","31","ExecuteEndDate","","","datetime","8","23","3","y","",""
"","32","AttachmentGuid","","","nvarchar","100","50","0","y","","6ZmE5Lu2R1VJRA=="
"","33","RecordStatus","","","int","4","10","0","y","","54q25oCB"
"","34","PersonalPONo","","","nvarchar","100","50","0","y","",""
"","35","IsSubmitService","","","int","4","10","0","y","((0))","56Gu6K6k5piv5ZCm5bey56Gu6K6k5pyN5YqhIDAtLeacquehruiupCAxLS3noa7orqQ="
"","36","ActivityTitle","","","nvarchar","100","50","0","y","",""
"","37","EventStartDate","","","datetime","8","23","3","y","",""
"","38","EventEndDate","","","datetime","8","23","3","y","",""
"","39","ActivityPurposeCode","","","nvarchar","100","50","0","y","",""
"","40","ActivityPurposeName","","","nvarchar","100","50","0","y","",""
"","41","ActivityPurposeDesc","","","nvarchar","100","50","0","y","",""
"","42","OtherPurposeDesc","","","nvarchar","100","50","0","y","",""
"Report_EventReport_Summary_Folio","1","Folio","","","nvarchar","100","50","0","y","",""
"FixBudgetAmount","1","EMSGuid","","","nvarchar","100","50","0","y","",""
"","2","ErrorData","","","nvarchar","100","50","0","y","",""
"","3","BudgetYear","","","int","4","10","0","y","",""
"","4","RecordStatus","","","int","4","10","0","y","",""
"EventMeeting_ThirdpartyBasicInfo","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","ThirdGuid","","","nvarchar","100","50","0","y","","5rWB56iLR1VJRA=="
"","4","CostType","","","nvarchar","100","50","0","y","","6LS555So57G75Yir"
"","5","CostName","","","nvarchar","100","50","0","y","","6LS555So57G75Yir5ZCN56ew"
"","6","DemandAmount","","","numeric","9","18","2","y","",""
"","7","VendorCode","","","nvarchar","100","50","0","y","","5L6b5bqU5ZWG5Luj56CB"
"","8","VendorName","","","nvarchar","100","50","0","y","","5L6b5bqU5ZWG5ZCN56ew"
"","9","CompanyCode","","","nvarchar","100","50","0","y","","6K6i5Y2V5YWs5Y+45Luj56CB"
"","10","CompanyName","","","nvarchar","100","50","0","y","","6K6i5Y2V5YWs5Y+45ZCN56ew"
"","11","PayDate","","","datetime","8","23","3","y","","5Lqk5LuY5pe26Ze0"
"","12","SAPNo","","","nvarchar","100","50","0","y","","U0FQ6K6i5Y2V5Y+3"
"","13","OrderNo","","","nvarchar","100","50","0","y","",""
"","14","Status","","","int","4","10","0","y","","54q25oCB"
"","15","PaymentType","","","nvarchar","100","50","0","y","","5LuY5qy+57G75Z6L"
"","16","PaymentName","","","nvarchar","100","50","0","y","","5LuY5qy+5ZCN56ew"
"","17","AllocationTotalAmount","","","numeric","9","18","2","y","","6YeR6aKd"
"","18","DetailTotalAmount","","","numeric","9","18","2","y","",""
"","19","IsCentralPurchase","","","int","4","10","0","y","","5piv5ZCm6ZuG6YeH5L6b5bqU5ZWGIDAu5pivIDEu5ZCm"
"","20","LegalContractNo","","","nvarchar","100","50","0","y","",""
"","21","TaxRate","","","float","8","53","0","y","",""
"Takeda_Mng_RPM_RSM","1","ID","√","√","int","4","10","0","","",""
"","2","RPMNo","","","nvarchar","100","50","0","y","",""
"","3","RPM_WindowsID","","","nvarchar","100","50","0","y","",""
"","4","RPMName","","","nvarchar","100","50","0","y","",""
"","5","RSMNo","","","nvarchar","100","50","0","y","",""
"","6","RSM_WindowsID","","","nvarchar","100","50","0","y","",""
"","7","RSMName","","","nvarchar","100","50","0","y","",""
"","8","Item1","","","nvarchar","100","50","0","y","",""
"","9","Item2","","","nvarchar","100","50","0","y","",""
"","10","RecordStatus","","","int","4","10","0","y","",""
"A","1","A","","","nvarchar","100","50","0","y","",""
"B","1","B","","","nvarchar","100","50","0","y","",""
"","2","Datee","","","datetime","8","23","3","y","(getdate())",""
"EMS_Payment_SaveCurrentAmount","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","TypePoNo","","","nvarchar","100","50","0","y","",""
"","4","TableName","","","nvarchar","100","50","0","y","",""
"","5","RelationID","","","nvarchar","100","50","0","y","",""
"","6","BillingAmount","","","nvarchar","100","50","0","y","",""
"","7","LastUpdateTime","","","datetime","8","23","3","y","",""
"","8","NodeStatus","","","nvarchar","100","50","0","y","",""
"EventPurchase_MainInfo","1","id","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","","5rWB56iLR1VJRA=="
"","3","PurchaseGuid","","","nvarchar","100","50","0","y","",""
"","4","EventName","","","nvarchar","100","50","0","y","","6YeH6LSt5ZCN56ew"
"","5","RecordStatus","","","int","4","10","0","y","","54q25oCB"
"ServerLog.DelegateLog","1","ID","√","√","bigint","8","19","0","","",""
"","2","Folio","","","nvarchar","100","50","0","y","",""
"","3","StartDate","","","nvarchar","100","50","0","y","",""
"","4","FinishDate","","","nvarchar","100","50","0","y","",""
"","5","Originator","","","nvarchar","100","50","0","y","",""
"","6","ProcInstID","","","nvarchar","100","50","0","y","",""
"","7","ProcessFullName","","","nvarchar","400","200","0","y","",""
"","8","ProcessName","","","nvarchar","400","200","0","y","",""
"","9","DataSourceName","","","nvarchar","100","50","0","y","(N'K2 BlackPearl')",""
"","10","FromWho","","","nvarchar","100","50","0","y","",""
"","11","ToWho","","","nvarchar","100","50","0","y","",""
"EMS_Mng_CostCategorySpecialRule","1","ID","√","√","int","4","10","0","","",""
"","2","CostCategoryCode","","","nvarchar","100","50","0","y","","5Li757G75Yir5Luj56CB"
"","3","ToCompliance","","","int","4","10","0","y","","5piv5ZCm5Yiw6L6+5ZCI6KeE6YOo6IqC54K5"
"","4","ToUpdateInfo","","","int","4","10","0","y","",""
"","5","IsOCRule","","","int","4","10","0","y","","5piv5ZCm5Li65Lia5Yqh5a6h5om577yI5LiN5Y+X6YeR6aKd5b2x5ZON77yJ"
"","6","RecordStatus","","","int","4","10","0","y","","5piv5ZCm5ZCv55SoICAwLS3npoHnlKggIDEtLeWQr+eUqA=="
"","7","Item1","","","nvarchar","100","50","0","y","",""
"","8","Item2","","","nvarchar","100","50","0","y","",""
"","9","Item3","","","nchar","20","10","0","y","",""
"EventPurchase_AssetsConfigruation","1","ID","√","√","int","4","10","0","","",""
"","2","Code","","","nvarchar","100","50","0","y","",""
"","3","Name","","","nvarchar","100","50","0","y","",""
"","4","Status","","","int","4","10","0","y","",""
"EMS_Cfg_SignTable","1","id","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","RowHtml","","","nvarchar","-1","-1","0","y","",""
"","4","SpeakerHtml","","","nvarchar","-1","-1","0","y","",""
"","5","RecordStatus","","","int","4","10","0","y","",""
"EMS_Cfg_SpeakerAbroadLectureFee","1","id","√","√","int","4","10","0","","",""
"","2","LectureFee","","","nvarchar","100","50","0","y","",""
"","3","AssessmentLevel","","","nvarchar","100","50","0","y","",""
"","4","RecordStatus","","","int","4","10","0","y","",""
"EventMeeting_ThirdpartyMainInfo","1","id","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","ThirdGuid","","","nvarchar","100","50","0","y","",""
"","4","EventName","","","nvarchar","100","50","0","y","",""
"","5","RecordStatus","","","int","4","10","0","y","",""
"EMS_Cfg_SpeakerFee","1","id","√","√","int","4","10","0","","",""
"","2","AssessmentLevel","","","nvarchar","100","50","0","y","",""
"","3","AssessmentLevelCode","","","nvarchar","100","50","0","y","",""
"","4","AbroadLectureFee","","","float","8","53","0","y","",""
"","5","LectureFee","","","float","8","53","0","y","",""
"","6","AnnualCap","","","float","8","53","0","y","",""
"","7","RecordStatus","","","int","4","10","0","y","",""
"EMS_Cfg_RightDeptment","1","id","√","√","int","4","10","0","","",""
"","2","CostName","","","nvarchar","100","50","0","y","",""
"","3","CostCode","","","nvarchar","100","50","0","y","",""
"","4","Deptment","","","nvarchar","100","50","0","y","",""
"","5","DeptmentCode","","","nvarchar","100","50","0","y","",""
"","6","RDType","","","int","4","10","0","y","",""
"","7","RecordStatus","","","int","4","10","0","y","",""
"EventMeeting_ThirdpartyDetailInfo","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","ThirdGuid","","","nvarchar","100","50","0","y","",""
"","4","CRGuid","","","nvarchar","100","50","0","y","","5rWB56iLR1VJRA=="
"","5","TypeCode","","","nvarchar","100","50","0","y","","5ZCN56ewQ29kZQ=="
"","6","TypeName","","","nvarchar","100","50","0","y","","5ZCN56ew"
"","7","ApplicantAmount","","","numeric","9","18","2","y","","55Sz6K+36YeR6aKd"
"","8","AccountAmount","","","numeric","9","18","2","y","","5oql6LSm6YeR6aKd"
"","9","RecordStatus","","","int","4","10","0","y","","54q25oCB"
"Payment_DetailInfo","1","ID","","","int","4","10","0","y","",""
"","2","MasterGuid","","","varchar","1","1","0","y","","5Li76KGoR1VJRA=="
"","3","PaymentType","","","varchar","1","1","0","y","","5LuY5qy+57G75Z6L"
"","4","PaymentTypeName","","","varchar","1","1","0","y","","5LuY5qy+5ZCN56ew"
"","5","Amount","","","char","1","1","0","y","","6YeR6aKd"
"","6","RecordStatus","","","int","4","10","0","y","","54q25oCB"
"EventMeeting_SpeakerBasicInfo","1","id","√","√","int","4","10","0","","","5Li76ZSuIOWUr+S4gA=="
"","2","EMSGuid","","","nvarchar","100","50","0","y","","5rWB56iLR3VpZA=="
"","3","SpeakerPONo","","","nvarchar","100","50","0","y","","6K6y6ICFUE/lj7c="
"","4","CostName","","","nvarchar","100","50","0","y","","6LS555So5a2Q57G75Yir5ZCN56ew"
"","5","CostCode","","","nvarchar","100","50","0","y","","6LS555So5a2Q57G75Yir5Luj56CB"
"","6","TotalAmount","","","numeric","9","18","2","y","","5oC76YeR6aKd"
"","7","IsAbroad","","","int","4","10","0","y","","5Zu95aSW6K6y6K++IDEu5pivIDAu5ZCm"
"","8","RecordStatus","","","int","4","10","0","","","54q25oCBIDAu5ZCv55SoIDEu5LiN5ZCv55So"
"Takeda_EMS_HCPTesterDetailed","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","EMSFolio","","","nvarchar","100","50","0","y","",""
"","4","ChargeType","","","nvarchar","100","50","0","y","",""
"","5","NextApprover","","","nvarchar","100","50","0","y","",""
"","6","PaymentAmount","","","nvarchar","100","50","0","y","",""
"","7","CostCategory","","","nvarchar","100","50","0","y","",""
"","8","ApplicationAmount","","","nvarchar","100","50","0","y","",""
"","9","Status","","","nvarchar","100","50","0","y","",""
"","10","CreateDate","","","nvarchar","100","50","0","y","",""
"","11","Mailtime","","","nvarchar","100","50","0","y","",""
"","12","Folio","","","nvarchar","100","50","0","y","",""
"","13","Item2","","","nvarchar","100","50","0","y","",""
"","14","Item3","","","nvarchar","100","50","0","y","",""
"","15","Item4","","","nvarchar","100","50","0","y","",""
"","16","Comment","","","nvarchar","100","50","0","y","",""
"","17","CurrentUserAD","","","nvarchar","100","50","0","y","",""
"","18","CostCategoryName","","","nvarchar","100","50","0","y","",""
"EventPurchase_DetailBasicInfo","1","id","√","√","int","4","10","0","","","5Li76ZSu5ZSv5LiA"
"","2","EMSGuid","","","nvarchar","100","50","0","y","","5rWB56iLR1VJRA=="
"","3","PurchaseGuid","","","nvarchar","100","50","0","y","","6YeH6LStR1VJRA=="
"","4","CRGuid","","","nvarchar","100","50","0","y","","5YiX5pWw5o2uR1VJRA=="
"","5","VendorCode","","","nvarchar","100","50","0","y","","5L6b5bqU5ZWG5Luj56CB"
"","6","VendorName","","","nvarchar","100","50","0","y","","5L6b5bqU5ZWG5ZCN56ew"
"","7","CompanyCode","","","nvarchar","100","50","0","y","","6K6i5Y2V5YWs5Y+45Luj56CB"
"","8","CompanyName","","","nvarchar","100","50","0","y","",""
"","9","TaxRate","","","float","8","53","0","y","",""
"","10","PayDate","","","datetime","8","23","3","y","",""
"","11","LegalContractNo","","","nvarchar","100","50","0","y","",""
"","12","SAPNo","","","nvarchar","100","50","0","y","",""
"","13","OrderNo","","","nvarchar","100","50","0","y","",""
"","14","InvoiceNo","","","nvarchar","100","50","0","y","",""
"","15","LectureFee","","","nvarchar","100","50","0","y","","6K6y6ICF5Y2V5qyh55Sz6K+36LS555So6ZmQ6aKd"
"","16","AnnualCap","","","nvarchar","100","50","0","y","","5bm05bqm6K6y6ICF5oC76YeR6aKd"
"","17","TotalAmount","","","numeric","9","18","2","y","","55Sz6K+36YeR6aKd"
"","18","SpeakerLevel","","","nvarchar","100","50","0","y","",""
"","19","RecordStatus","","","int","4","10","0","y","","54q25oCB"
"","20","ZincCode","","","nvarchar","100","50","0","y","",""
"Approve_Mng_HCPTester","1","ID","√","","int","4","10","0","","",""
"","2","UserCode","","","varchar","50","50","0","y","",""
"","3","VRCode","","","varchar","50","50","0","y","",""
"","4","DivisionCode","","","varchar","50","50","0","y","",""
"","5","DeptCode","","","varchar","50","50","0","y","",""
"","6","SubDeptCode","","","varchar","50","50","0","y","",""
"","7","EntityCode","","","varchar","50","50","0","y","",""
"","8","BranchCode","","","varchar","50","50","0","y","",""
"","9","TitleCode","","","varchar","50","50","0","y","",""
"","10","CountryCode","","","varchar","50","50","0","y","",""
